task,n,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl
0,341.0,0.5858606957608878,0.76691575784345,0.916861546122589,0.7565459999089758,0.700577498560955,0.9629061609071499,0.9266862170087976,0.0,0.9253315883282949
building,102.0,0.22364875937455878,0.3666364974436304,0.5275660621617543,0.3726171063266479,0.1511760911270828,0.38848309908038425,0.47058823529411764,0.0,0.46979392116308566
farm,19.0,0.2211742256094666,0.34079844225500117,0.47523508002502035,0.34573591596316267,0.07638281921484572,0.7198667438735553,0.2631578947368421,0.0,0.26274605846604737
hl,131.0,0.47695719736475845,0.7427879818703893,0.9584784098356993,0.7260745296902823,0.5694642482634511,0.4129408873666298,0.9312977099236641,0.0,0.9300391405003775
obstacle,83.0,0.1596246846059953,0.2845238382423384,0.45874107969946737,0.30096320084926703,0.1939308653858525,0.942327144211403,0.5662650602409639,0.1927710843373494,0.4819160708879281
orbit,130.0,0.5111669046153845,0.759304820223698,0.9373957063267717,0.7359558103886181,0.5490125631194823,0.4187645717765172,0.9538461538461539,0.0,0.9529132688801659
orbit_multi,70.0,0.29502227548409293,0.5763197048294139,0.9079451503365933,0.5930957102166998,0.4798640955448899,0.3475058108523994,0.9285714285714286,0.0,0.9277798958653896
road,117.0,0.22144524054341794,0.3976101815282279,0.6954134495179126,0.43815629052985283,0.3216542099381363,0.7695944393249454,0.5299145299145299,0.0,0.5297886916278488
