task,split,env_id,episode_path,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl,spl,gt_length,pred_length,num_gt,num_pred
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0273/traj_gt_pred_xyzk.npz,0.31155778894472363,0.7085427135678392,1.0,0.6733668341708543,0.662644872543942,0.9743289916950294,1.0,0.0,1.0,1.0,59.257805820298,57.19464280276046,199.0,199.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0275/traj_gt_pred_xyzk.npz,0.25888324873096447,0.4619289340101523,0.8324873096446701,0.5177664974619289,0.4149763417796883,0.9062513640047943,1.0,0.0,1.0,1.0,58.63025964830836,54.663150755766,197.0,197.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0277/traj_gt_pred_xyzk.npz,0.3484848484848485,0.601010101010101,1.0,0.6498316498316498,0.6050745763139593,0.9368394042226921,1.0,0.0,1.0,1.0,58.94221083639117,55.226311881026966,198.0,198.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0279/traj_gt_pred_xyzk.npz,0.125,0.41346153846153844,0.7884615384615384,0.4423076923076923,0.3180060517792452,0.9506021125930424,1.0,0.0,1.0,1.0,61.939761492391895,57.7618102870383,208.0,208.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0281/traj_gt_pred_xyzk.npz,0.05909090909090909,0.09545454545454546,0.20909090909090908,0.12121212121212122,0.028056829552177417,1.0,1.0,0.0,1.0,1.0,64.4382512479808,59.362646871021916,220.0,220.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0283/traj_gt_pred_xyzk.npz,0.3,0.53,0.865,0.5650000000000001,0.45899620772105093,0.8869917359591949,1.0,0.0,1.0,1.0,59.54116022075219,55.201529112101326,200.0,200.0
obstacle,unseen,overhead_bridge,task_obstacle/test_unseen/overhead_bridge/episode_0285/traj_gt_pred_xyzk.npz,0.13366336633663367,0.6138613861386139,0.9653465346534653,0.570957095709571,0.5385664097491418,0.9231356989679798,1.0,0.0,1.0,1.0,59.51288475638334,56.25611763347146,202.0,202.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0390/traj_gt_pred_xyzk.npz,0.16891891891891891,0.2939189189189189,0.7027027027027027,0.38851351351351354,0.00041514885945113987,0.5968682324086082,0.0,0.0,0.0,0.0,247.0724475776109,205.6407056776602,296.0,296.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0391/traj_gt_pred_xyzk.npz,0.2692307692307692,0.6346153846153846,0.7939560439560439,0.5659340659340658,0.35548388053732816,0.9821052883688589,1.0,0.0,1.0,1.0,308.2005165741373,306.65607803354965,364.0,364.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0395/traj_gt_pred_xyzk.npz,0.34017595307917886,0.47214076246334313,0.4897360703812317,0.4340175953079179,6.83834958576891e-05,0.9940138168825788,1.0,0.0,1.0,1.0,293.1951067064838,108.81688487430755,341.0,341.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0396/traj_gt_pred_xyzk.npz,0.22157434402332363,0.40233236151603496,0.8483965014577259,0.4907677356656948,0.3907472087019622,0.9975980879530141,1.0,0.0,1.0,1.0,293.13834638311573,288.2444460688589,343.0,343.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0400/traj_gt_pred_xyzk.npz,0.17464788732394365,0.28732394366197184,0.6281690140845071,0.36338028169014086,0.2631615837909032,0.9937825607365625,1.0,0.0,1.0,1.0,303.04261234324736,294.8009795492588,355.0,355.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0401/traj_gt_pred_xyzk.npz,0.29289940828402367,0.5976331360946746,1.0,0.6301775147928994,0.5868741124889544,0.9972032352459658,1.0,0.0,1.0,1.0,299.4987877553615,299.49015911192566,338.0,338.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0405/traj_gt_pred_xyzk.npz,0.4336917562724014,0.5842293906810035,0.6057347670250897,0.5412186379928315,0.00539488497143033,0.011739366084723361,1.0,0.0,1.0,1.0,243.29101771423672,121.81238763800263,279.0,279.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0406/traj_gt_pred_xyzk.npz,0.47277936962750716,0.9083094555873925,1.0,0.7936962750716332,0.6093523436762628,0.004432990725416547,1.0,0.0,1.0,1.0,305.7226670844637,304.57696626468265,349.0,349.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0410/traj_gt_pred_xyzk.npz,0.5035971223021583,0.9424460431654677,1.0,0.8153477218225419,0.7244026600587128,0.0,1.0,0.0,0.9993404174912258,0.9993404174912258,222.82298072709193,222.97004787064796,278.0,278.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0411/traj_gt_pred_xyzk.npz,0.6948051948051948,0.7467532467532467,0.9188311688311688,0.7867965367965368,0.41069122142795034,0.05265330978189866,1.0,0.0,1.0,1.0,238.87014930109638,233.1942709270033,308.0,308.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0415/traj_gt_pred_xyzk.npz,0.2028985507246377,0.5884057971014492,0.8405797101449275,0.5439613526570048,0.4051786794086779,0.005508579414280598,1.0,0.0,0.9991544264396139,0.9991544264396139,279.47814861912997,279.71466794679793,345.0,345.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0416/traj_gt_pred_xyzk.npz,1.0,1.0,1.0,1.0,0.550506304627684,0.9745244638775699,1.0,0.0,0.9816436355226068,0.9816436355226068,208.05009461225336,211.94055264412913,260.0,260.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0420/traj_gt_pred_xyzk.npz,0.35365853658536583,0.508130081300813,1.0,0.6205962059620597,0.4882222103995252,0.016574572234087183,1.0,0.0,0.9936645752924802,0.9936645752924802,181.01266063878415,182.1667644592281,246.0,246.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0421/traj_gt_pred_xyzk.npz,0.9753694581280788,1.0,1.0,0.9917898193760263,0.8918298331189674,0.0,1.0,0.0,0.9956995836372357,0.9956995836372357,153.7328657945459,154.39683647648843,203.0,203.0
orbit,seen,1_office,task_orbit/test_seen/1_office/episode_0425/traj_gt_pred_xyzk.npz,0.6501901140684411,1.0,1.0,0.8833967046894804,0.7923813555779317,0.002860871689099258,1.0,0.0,0.9938882779767296,0.9938882779767296,218.58728362794002,219.9314434746336,263.0,263.0
