split,n,tcr@1,tcr@2,tcr@5,avg_tcr,ndtw,nsp,sr,cr,cspl
seen,576,0.45144320311616365,0.6595168184398099,0.8485425724379634,0.6531675313313123,0.5383257168166877,0.6919144654760614,0.8315972222222222,0.012152777777777778,0.8237009462022762
unseen,417,0.3729119609277812,0.5563591859723228,0.7605458695627825,0.5632723388209623,0.42921892035705694,0.6815989753024758,0.7434052757793765,0.02158273381294964,0.7353482914907234
